gene_name	data_idx	type	b0002	b0003	b0004	b0031	b0032	b0033	b0048	b0071	b0072	b0073	b0074	b0077	b0078	b0109	b0116	b0120	b0121	b0131	b0142	b0159	b0166	b0186	b0242	b0243	b0260	b0261	b0273	b0351	b0352	b0386	b0388	b0421	b0423	b0429	b0430	b0431	b0432	b0485	b0507	b0521	b0529	b0583	b0586	b0593	b0594	b0595	b0596	b0639	b0662	b0674	b0693	b0722	b0727	b0750	b0754	b0828	b0849	b0870	b0903	b0907	b0908	b0928	b1014	b1064	b1096	b1103	b1189	b1190	b1210	b1241	b1260	b1261	b1262	b1263	b1264	b1297	b1302	b1385	b1386	b1415	b1444	b1493	b1524	b1525	b1606	b1622	b1680	b1686	b1692	b1693	b1704	b1740	b1744	b1745	b1746	b1747	b1748	b1761	b1764	b1767	b1800	b1812	b1814	b1865	b1919	b2019	b2020	b2021	b2022	b2023	b2024	b2025	b2026	b2153	b2232	b2260	b2261	b2262	b2263	b2264	b2265	b2290	b2296	b2297	b2312	b2315	b2329	b2366	b2379	b2400	b2413	b2414	b2421	b2440	b2441	b2472	b2478	b2507	b2521	b2529	b2530	b2551	b2557	b2574	b2579	b2582	b2599	b2600	b2601	b2660	b2661	b2662	b2663	b2687	b2763	b2764	b2780	b2797	b2810	b2818	b2838	b2903	b2904	b2905	b2906	b2907	b2913	b2937	b2938	b2957	b2965	b3008	b3058	b3073	b4471	b3114	b3115	b3117	b3172	b3177	b3187	b3212	b3213	b3281	b3359	b3360	b3389	b3390	b3433	b3475	b3517	b3572	b3589	b3590	b3607	b3610	b3616	b3617	b3670	b3671	b3708	b3709	b3729	b3744	b3770	b3771	b3772	b3774	b3781	b3809	b3829	b3833	b3843	b3870	b3930	b3939	b3940	b3941	b3957	b3958	b3959	b3960	b4407	b3997	b4013	b4019	b4024	b4039	b4040	b4053	b4054	b4088	b4117	b4123	b4129	b4131	b4138	b4139	b4245	b4254	b4388
gcvB		f1	0.0952	0.4000	0.2222	0.0952	0.2222	0.1667	0.0000	0.4000	0.2222	0.1667	0.2222	0.0000	0.1667	0.0000	0.0952	0.0000	0.0000	0.2222	0.0000	0.0000	0.0952	0.0952	0.2222	0.0952	0.2667	0.3333	0.1667	0.1667	0.4545	0.2222	0.0000	0.2222	0.0000	0.2222	0.0952	0.0000	0.0952	0.2222	0.1667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1667	0.0952	0.4545	0.0952	0.0000	0.1667	0.2222	0.4000	0.0000	0.2222	0.2222	0.0000	0.0000	0.4000	0.0000	0.0000	0.2222	1.0000	1.0000	0.0000	0.2222	0.0000	0.0000	0.2222	0.2222	0.2222	0.2222	1.0000	0.4545	0.0952	1.0000	0.2667	0.0000	0.1667	0.1667	0.0000	1.0000	0.0000	0.1667	0.2667	0.0952	0.1667	0.0952	0.4545	0.4545	0.0952	0.3333	1.0000	0.0000	0.0952	0.0000	0.0000	0.0000	0.2222	0.0000	0.0000	0.0000	0.0000	0.0952	0.0000	0.0000	0.0952	0.0000	0.0000	0.0000	0.0952	0.0000	0.0952	0.1667	0.0952	0.0000	0.0000	0.0000	0.0952	0.0952	0.0000	0.1667	0.0000	0.0000	0.0000	0.0000	0.0952	0.4000	0.4545	0.1667	0.2500	0.1667	0.1667	0.0000	1.0000	0.1667	0.0952	0.2222	0.0000	0.2222	0.1429	0.1667	0.0952	0.1667	0.1667	0.0952	0.4000	0.4545	1.0000	0.0952	1.0000	0.4545	0.0000	0.4545	0.2222	0.0000	0.2222	0.4000	0.4000	1.0000	0.0000	0.0000	0.2222	0.2222	0.0952	0.0952	0.0000	0.0000	0.0952	0.2222	0.4000	0.0000	0.4545	1.0000	0.0000	0.2222	0.0000	0.0000	0.0952	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.4000	0.0000	0.1667	0.2222	0.2222	0.2222	0.4000	0.4000	1.0000	1.0000	0.1667	0.0952	0.2500	0.1667	0.2222	0.4545	0.1667	0.2222	0.4000	0.4000	0.0952	0.2222	0.2222	0.0952	0.0000	0.4000	0.0952	0.2222	0.4000	0.0000	0.4000	0.0952	0.0000	0.4000	0.2222	1.0000	0.4000	0.0000	0.0000	0.2222	0.2222	0.4000	0.1667	0.0952	0.4000	1.0000	0.1667	0.2222	0.0000
gcvB		f1	0.2667	0.0000	0.2222	0.0952	0.1667	0.1667	0.2500	0.2500	0.1667	0.1667	0.1667	0.2500	0.1667	0.2500	0.2222	0.4000	0.4000	0.0952	0.4000	0.4000	0.1667	0.0952	0.1667	0.1667	0.0952	0.3333	0.1667	0.1667	0.4545	0.2222	0.2500	0.2222	0.2500	0.0952	0.2222	0.4000	0.1667	0.1667	0.1667	0.0000	0.4000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.1667	0.0952	0.4545	0.0952	0.4000	0.1667	0.2222	0.2500	0.4000	0.2222	0.1667	0.2500	0.2500	0.2500	0.0000	0.4000	0.2222	0.0000	1.0000	0.0000	0.2222	0.2500	0.4000	0.0952	0.0952	0.0952	0.0952	1.0000	0.4545	0.0952	1.0000	0.2667	0.2500	0.1667	0.1667	0.0000	0.0000	0.0000	0.2222	0.2667	0.1667	0.1667	0.0952	0.0000	0.0000	0.1667	0.0000	0.0000	0.2500	0.0952	0.0000	0.0000	0.0000	0.1667	0.2500	0.0000	0.2500	0.4000	0.1667	0.4000	0.4000	0.2222	0.4000	0.0000	0.4000	0.2222	0.0000	0.0952	0.1667	0.0952	0.0000	0.0000	0.4000	0.0952	0.0952	0.4000	0.1667	0.4000	1.0000	0.2500	0.0000	0.0952	0.2500	0.0000	0.1667	0.0000	0.1667	0.1667	0.2500	1.0000	0.1667	0.1667	0.0952	0.4000	0.0952	0.0000	0.1667	0.0952	0.1667	0.1667	0.0952	0.4000	0.4545	1.0000	0.0952	0.0000	0.0000	0.0000	0.0000	0.1667	0.4000	0.2222	0.0000	0.2500	0.0000	0.4000	0.4000	0.1667	0.2222	0.0952	0.2222	0.2500	0.0000	0.2222	0.2222	0.4000	0.0000	0.0000	1.0000	0.4000	0.2222	0.0000	0.2500	0.1667	0.0000	0.2500	0.0000	0.2500	0.4000	0.0000	0.0000	0.4000	0.2500	0.4000	0.2500	0.1667	0.2222	0.1667	0.1667	0.2500	0.4000	1.0000	1.0000	0.1667	0.0952	0.4000	0.1667	0.0952	0.0000	0.1667	0.2222	0.4000	0.4000	0.2222	0.0952	0.2222	0.2222	0.2500	0.4000	0.0952	0.1667	0.0000	0.0000	0.4000	0.0952	0.0000	0.4000	0.0952	0.0000	0.4000	0.4000	0.4000	0.2222	0.2222	0.0000	0.1667	0.0952	0.4000	0.0000	0.1667	0.1667	0.4000
gcvB	67	pred	1	-1	0	0	1	-1	1	1	1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	0	1	1	1	0	1	0	0	0	1	0	1	-1	-1	-1	1	1	1	0	-1	1	1	1	1	1	-1	0	0	-1	0	0	0	-1	-1	0	1	-1	0	1	1	1	1	0	-1	0	1	0	0	0	1	-1	1	1	-1	-1	0	0	0	0	0	1	-1	0	0	-1	0	-1	0	1	-1	0	1	1	1	1	-1	-1	0	0	0	0	1	1	0	1	-1	1	-1	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	-1	0	0	-1	0	-1	-1	1	0	0	1	1	0	1	1	1	1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	1	-1	0	-1	1	-1	0	-1	1	-1	-1	-1	1	0	0	-1	1	0	1	0	0	0	-1	0	-1	0	0	1	1	0	1	0	1	-1	1	0	-1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	1	-1	-1	-1	0	0	0	-1	-1	0	-1	1	0	0	1	-1	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1	0	0	0	-1	-1	1	-1
gcvB	67	test	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	1	1	0	-1	0	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
gcvB	68	pred	1	-1	0	0	1	-1	1	1	1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	0	1	1	1	0	1	0	0	0	1	0	1	-1	-1	-1	1	1	1	0	-1	1	1	1	1	1	-1	0	0	-1	0	0	0	-1	-1	0	1	-1	0	1	1	1	1	0	-1	0	1	0	0	0	1	-1	1	1	-1	-1	0	0	0	0	0	1	-1	0	0	-1	0	-1	0	1	-1	0	1	1	1	1	-1	-1	0	0	0	0	1	1	0	1	-1	1	-1	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	-1	0	0	-1	0	-1	-1	1	0	0	1	1	0	1	1	1	1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	1	-1	0	-1	1	-1	0	-1	1	-1	-1	-1	1	0	0	-1	1	0	1	0	0	0	-1	0	-1	0	0	1	1	0	1	0	1	-1	1	0	-1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	1	-1	-1	-1	0	0	0	-1	-1	0	-1	1	0	0	1	-1	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1	0	0	0	-1	-1	1	-1
gcvB	68	test	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	-1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
gcvB	69	pred	1	-1	0	0	1	-1	1	1	1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	0	1	1	1	0	1	0	0	0	1	0	1	-1	-1	-1	1	1	1	0	-1	1	1	1	1	1	-1	0	0	-1	0	0	0	-1	-1	0	1	-1	0	1	1	1	1	0	-1	0	1	0	0	0	1	-1	1	1	-1	-1	0	0	0	0	0	1	-1	0	0	-1	0	-1	0	1	-1	0	1	1	1	1	-1	-1	0	0	0	0	1	1	0	1	-1	1	-1	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	-1	0	0	-1	0	-1	-1	1	0	0	1	1	0	1	1	1	1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	1	-1	0	-1	1	-1	0	-1	1	-1	-1	-1	1	0	0	-1	1	0	1	0	0	0	-1	0	-1	0	0	1	1	0	1	0	1	-1	1	0	-1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	1	-1	-1	-1	0	0	0	-1	-1	0	-1	1	0	0	1	-1	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1	0	0	0	-1	-1	1	-1
gcvB	69	test	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	-1	0	-1	-1	0	-1	-1	0	0	0	0	0	-1	0	-1	0	0	-1	0	-1	0	0	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	0	-1	0	0	-1	-1	0	-1	-1	0	0	0	-1	0	-1	-1	0	-1	0	0	0	0	-1	0	0	-1	0	0	-1	0	-1	-1	0	0	0	0	0	0	-1	-1	0	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	-1	0	0	0	0	-1	0	0	-1	0	0	0	0	-1	0	1	-1	-1	0	0	-1	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	-1	-1	0	0	0	-1	-1	-1	0	0	0	-1	0	0	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	0	0	0	0	0	0	1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	-1
gcvB	70	pred	1	-1	0	0	1	-1	1	1	1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	0	1	1	1	0	1	0	0	0	1	0	1	-1	-1	-1	1	1	1	0	-1	1	1	1	1	1	-1	0	0	-1	0	0	0	-1	-1	0	1	-1	0	1	1	1	1	0	-1	0	1	0	0	0	1	-1	1	1	-1	-1	0	0	0	0	0	1	-1	0	0	-1	0	-1	0	1	-1	0	1	1	1	1	-1	-1	0	0	0	0	1	1	0	1	-1	1	-1	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	-1	0	0	-1	0	-1	-1	1	0	0	1	1	0	1	1	1	1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	1	-1	0	-1	1	-1	0	-1	1	-1	-1	-1	1	0	0	-1	1	0	1	0	0	0	-1	0	-1	0	0	1	1	0	1	0	1	-1	1	0	-1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	1	-1	-1	-1	0	0	0	-1	-1	0	-1	1	0	0	1	-1	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1	0	0	0	-1	-1	1	-1
gcvB	70	test	-1	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	0	0	0	-1	0	0	-1	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	0	-1	-1	0	-1	-1	0	0	-1	-1	-1	-1	-1	0	-1	-1	0	-1	0	-1	-1	0	-1	0	0	-1	-1	-1	-1	0	-1	-1	0	0	-1	-1	-1
gcvB	71	pred	1	-1	0	0	1	-1	1	1	1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	0	1	1	1	0	1	0	0	0	1	0	1	-1	-1	-1	1	1	1	0	-1	1	1	1	1	1	-1	0	0	-1	0	0	0	-1	-1	0	1	-1	0	1	1	1	1	0	-1	0	1	0	0	0	1	-1	1	1	-1	-1	0	0	0	0	0	1	-1	0	0	-1	0	-1	0	1	-1	0	1	1	1	1	-1	-1	0	0	0	0	1	1	0	1	-1	1	-1	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	-1	0	0	-1	0	-1	-1	1	0	0	1	1	0	1	1	1	1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	1	-1	0	-1	1	-1	0	-1	1	-1	-1	-1	1	0	0	-1	1	0	1	0	0	0	-1	0	-1	0	0	1	1	0	1	0	1	-1	1	0	-1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	1	-1	-1	-1	0	0	0	-1	-1	0	-1	1	0	0	1	-1	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1	0	0	0	-1	-1	1	-1
gcvB	71	test	0	0	0	-1	0	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	-1	0	-1	-1	0	0	0	-1	0	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	0	0	0	-1	0	0	-1	-1	0	-1	-1	0	0	0	-1	0	-1	-1	-1	0	0	0	0	0	-1	0	0	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	0	-1	-1	0	-1	0	1	0	-1	-1	-1	-1	0	0	0	-1	0	0	-1	0	0	-1	0	0	0	0	-1	-1	0	0	-1	-1	-1	-1	-1	0	0	-1	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	0	0	-1	1	0	0	0	-1	0	0	0	-1	0	0	-1	-1	0	-1	0	0	-1	0	-1	-1	0	0	0	0	-1	-1	0	0	0	-1	-1	0	0	-1	0	-1
gcvB	72	pred	1	-1	0	0	1	-1	1	1	1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	0	1	1	1	0	1	0	0	0	1	0	1	-1	-1	-1	1	1	1	0	-1	1	1	1	1	1	-1	0	0	-1	0	0	0	-1	-1	0	1	-1	0	1	1	1	1	0	-1	0	1	0	0	0	1	-1	1	1	-1	-1	0	0	0	0	0	1	-1	0	0	-1	0	-1	0	1	-1	0	1	1	1	1	-1	-1	0	0	0	0	1	1	0	1	-1	1	-1	-1	-1	-1	0	-1	-1	0	0	0	0	0	0	-1	0	0	-1	0	-1	-1	1	0	0	1	1	0	1	1	1	1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	1	-1	0	-1	1	-1	0	-1	1	-1	-1	-1	1	0	0	-1	1	0	1	0	0	0	-1	0	-1	0	0	1	1	0	1	0	1	-1	1	0	-1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	1	-1	-1	-1	0	0	0	-1	-1	0	-1	1	0	0	1	-1	0	0	0	0	0	-1	-1	0	-1	-1	0	0	-1	0	0	0	-1	-1	1	-1
gcvB	72	test	1	0	0	-1	0	0	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	-1	0	0	0	0	0	0	-1	0	-1	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	0	0	0	-1	0	0	-1	-1	0	-1	-1	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1	0	-1	0	0	-1	-1	0	1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	0	0	0	-1	0	0	-1	0	0	-1	0	-1	0	1	0	0	0	0	-1	0	0	0	-1	0	0	-1	0	0	-1	0	0	0	0	-1	-1	0	0	-1	0	-1	-1	1	0	0	-1	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	-1	0	0	-1	-1	0	-1	0	0	-1	0	0	-1	0	0	0	0	-1	-1	0	0	0	0	-1	0	0	0	0	-1
hemX		f1	0.0000	0.3333	1.0000	1.0000	0.3333	1.0000	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	1.0000	0.0000	0.3333	0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.3333	0.3333	1.0000	0.3333	1.0000	0.0000	1.0000	0.3333	1.0000	1.0000	0.3333	0.3333	0.0000	0.3333	1.0000	0.3333	0.0000	1.0000	0.3333	0.3333	1.0000	1.0000	1.0000	0.3333	0.0000	0.3333	0.0000	0.3333	0.3333	1.0000	1.0000	0.0000	0.3333	1.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.3333	0.3333	0.3333	1.0000	1.0000	1.0000	0.3333	0.3333	0.0000	0.0000	0.3333	1.0000	1.0000	1.0000	0.3333	1.0000	0.0000	0.3333	1.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.3333	0.3333	1.0000	0.3333	0.3333	0.3333	0.3333	0.3333	1.0000	1.0000	1.0000	0.3333	0.3333	0.3333	0.0000	0.3333	1.0000	1.0000	0.3333	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	0.3333	0.3333	0.3333	0.3333	1.0000	1.0000	0.0000	1.0000	1.0000	0.3333	0.3333	0.0000	0.0000	0.0000	1.0000	0.3333	1.0000	1.0000	0.3333	0.3333	0.0000	0.3333	1.0000	1.0000	0.0000	0.0000	1.0000	0.3333	1.0000	0.3333	1.0000	0.3333	0.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	1.0000	1.0000	1.0000	0.3333	0.3333	1.0000	0.3333	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	0.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	0.3333	0.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.3333	0.3333	0.0000	0.0000	0.3333	0.3333	0.3333	1.0000	0.0000	0.0000	0.3333	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	1.0000	0.3333	0.3333	0.3333	0.3333	1.0000	1.0000	1.0000	0.0000	0.0000	0.3333	1.0000
hemX		f1	0.0000	0.3333	1.0000	1.0000	0.3333	1.0000	0.0000	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	1.0000	0.0000	0.3333	0.3333	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.3333	0.3333	1.0000	0.3333	1.0000	0.0000	1.0000	0.3333	1.0000	1.0000	0.3333	0.3333	0.0000	0.0000	1.0000	0.3333	0.0000	1.0000	0.3333	0.3333	1.0000	1.0000	1.0000	0.3333	0.3333	0.3333	0.0000	0.3333	0.3333	1.0000	1.0000	0.0000	0.3333	1.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.3333	0.0000	0.3333	1.0000	1.0000	1.0000	0.3333	0.3333	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	0.3333	1.0000	0.0000	0.3333	1.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.3333	0.3333	1.0000	0.3333	0.3333	0.3333	0.3333	0.3333	1.0000	1.0000	1.0000	0.3333	0.3333	0.3333	0.0000	0.3333	1.0000	1.0000	0.3333	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	0.3333	0.3333	0.3333	0.3333	0.3333	1.0000	1.0000	0.0000	1.0000	1.0000	0.3333	0.3333	0.0000	0.0000	0.0000	1.0000	0.3333	1.0000	1.0000	0.3333	0.3333	0.0000	0.3333	1.0000	1.0000	0.0000	0.0000	1.0000	0.3333	1.0000	0.3333	1.0000	0.3333	0.0000	0.3333	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	1.0000	1.0000	1.0000	0.3333	0.3333	1.0000	0.3333	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	0.0000	1.0000	0.3333	1.0000	1.0000	0.3333	1.0000	1.0000	1.0000	1.0000	0.3333	0.3333	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.3333	0.0000	0.0000	0.3333	0.3333	0.3333	1.0000	0.0000	0.0000	0.3333	1.0000	0.3333	1.0000	1.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.3333	0.0000	1.0000	0.3333	0.3333	0.3333	0.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.3333	1.0000
hemX	36	pred	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
hemX	36	test	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1	0	0	0	0	-1	-1	0	0	-1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	-1	0	-1	0	0	-1	0	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0	0	-1	0	0	-1	-1	-1	-1	-1	0	-1	0	0	-1	0	-1	0	0	0	-1	-1	0	0	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	-1	-1	0	0	0	-1	-1	0	-1	0	0	0	-1	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	-1	-1	0	0	-1	0	0	0	0	0	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	-1	0	0	0	-1	-1	0	0	0	-1	-1	-1	0
